Team, Position, First Name, Last Name, Player ID
WPG, C, Rasmus, Kupari, 8480845
WPG, D, Ville, Heinola, 8481572
DAL, C, Mikael, Granlund, 8475798
DAL, C, Roope, Hintz, 8478449
DAL, R, Mikko, Rantanen, 8478420
DAL, D, Miro, Heiskanen, 8480036
DAL, D, Esa, Lindell, 8476902
CAR, C, Sebastian, Aho, 8478427
CAR, C, Jesperi, Kotkaniemi, 8480829
COL, L, Joel, Kiviranta, 8481641
COL, L, Artturi, Lehkonen, 8477476
FLA, C, Aleksander, Barkov, 8477493
FLA, C, Anton, Lundell, 8482113
FLA, C, Eetu, Luostarinen, 8480185
FLA, D, Niko, Mikkola, 8478859
EDM, R, Kasperi, Kapanen, 8477953
TOR, D, Jani, Hakanpää, 8475825
NJD, L, Erik, Haula, 8475287
OTT, D, Nikolas, Matinpalo, 8484321
VAN, G, Kevin, Lankinen, 8480947
MTL, R, Joel, Armia, 8476469
MTL, R, Patrik, Laine, 8479339
NYR, C, Juuso, Parssinen, 8481704
NYR, D, Urho, Vaakanainen, 8480001
UTA, L, Matias, Maccelli, 8481711
UTA, D, Olli, Määttä, 8476874
BOS, D, Henri, Jokiharju, 8480035
BOS, G, Joonas, Korpisalo, 8476914
ANA, G, Ville, Husso, 8478024
PIT, L, Joona, Koppanen, 8479533
SEA, R, Kaapo, Kakko, 8481554
SEA, R, Jani, Nyman, 8483497
SEA, R, Eeli, Tolvanen, 8480009
PHI, D, Rasmus, Ristolainen, 8477499
PHI, G, Ivan, Fedotov, 8478905
BUF, G, Ukko-Pekka, Luukkonen, 8480045
NSH, G, Justus, Annunen, 8481020
NSH, G, Juuse, Saros, 8477424
CHI, C, Teuvo, Teravainen, 8476882
